id,name,description,image,image1,imge2,weight,unit_of_messure,category,brand,is_show,is_trend,view_count,stock_qty,mrp_price,demo_url,recommandation,benifits_and_features,discount_percentage,slug
1,SAAHO TOMATO SEEDS [TO-3251],"Saaho Tomato Seeds is a high-yielding determinate tomato hybrid developed by Syngenta.
It is known for its excellent fruit quality and high fruit firmness.
The plant has good stay greenness and dark green foliage.
Saaho Tomato Seeds is having good heat set.
",product_and_category_images\SAAHO TOMATO SEEDS [TO-3251]-1.webp,product_and_category_images\SAAHO TOMATO SEEDS [TO-3251]-2.png,,10,gm,3,1,TRUE,TRUE,0,10,1450,,"Fruit Color: Ripe fruits are attractive red & glossy.

Fruit Shape: Flat Round type, uniform green.
Fruit Weight: 80-100gms.
Average Yield: 25-40 MT/acre (depending on season and cultural practice).","Seed Rate: 40-50 gm per acre.
Time of Transplanting: Transplanting should be done at 21-25 days after sowing.
Spacing: Row to Row and Plant to Plant - 120 x 60cm.

First Harvest: Harvest the fruit at the time of physiological maturity. It starts maturing by 65 -70 days after transplanting- depending on season/climate. Picking is done generally at an interval of 4-5 days. Depending on the type of market/distance -tomatoes are picked.",20,
2,SAAHO TOMATO SEEDS [TO-3252],"Surabhi Coriander is a very vigorous variety having excellent yield potential.
Suitable for multiple cuts with very attractive, large, shiny leaves having a good aroma.
It is a late-bolting variety and can be grown round the year.
It is a dark shiny green foliage color.
",product_and_category_images\SAAHO TOMATO SEEDS [TO-3251]-2.png,,,500,gm,3,2,TRUE,TRUE,0,11,250,,"Type: Multicut.
Plant Vigour: Good Vigour.
Foliage Color: Dark green.
Stalk Length: 20 –25cm.","Sowing Season: Kharif, Rabi, Summer.
Recommended States: All states of India.
Seed Rate: 8-10kg/Acre.
First Harvest: 35 days after sowing.",42,
3,Surabhi Coriander Seeds,"Surabhi Coriander is a very vigorous variety having excellent yield potential.
Suitable for multiple cuts with very attractive, large, shiny leaves having a good aroma.
It is a late-bolting variety and can be grown round the year.
It is a dark shiny green foliage color.

",product_and_category_images\Surabhi_Coriander_Seeds-1.png,product_and_category_images\Surabhi Coriander Seeds-2.jpeg,,1,KG,3,2,TRUE,FALSE,0,12,500,,"Type: Multicut.
Plant Vigour: Good Vigour.
Foliage Color: Dark green.
Stalk Length: 20 –25cm.","Sowing Season: Kharif, Rabi, Summer.
Recommended States: All states of India.
Seed Rate: 8-10kg/Acre.
First Harvest: 35 days after sowing.",42,
4,RAADHIKA BHINDI,"It is a hybrid variety of okra.
Suitable for round the year.
shelf life of fruit is long.
",product_and_category_images\RAADHIKA BHINDI-1.jpg,product_and_category_images\RAADHIKA BHINDI-2.png,,250,gm,3,3,TRUE,FALSE,0,13,2700,,"Medium Plant Height with 2-4 branches.
Fruits are very closely packed, With dark green color, soft texture
Length of the fruit is 12 to 14cm and width is 1.5 to1.8 cm
The first harvesting of fruits is done within 45-50 days, and there is enhanced production.
Medium tolerance to YVMV and ELCV
",,38,
5,Madhur Beetroot Seeds,"Madhur seeds has excellent field holding capacity and wide adaptability.
The root shape is maintained even under close spacing.
Foliage is medium dull green with maroon tinge
Plant Vigour : Good
",product_and_category_images\Madhur Beetroot Seeds-1.png,product_and_category_images\Madhur Beetroot Seeds-2.webp,,400,gm,3,2,TRUE,TRUE,0,14,1280,,"SHAPE/ SIZE: Dark red and round roots.

WEIGHT: Each root weighs 100 - 120 g.
NOTE:9000 to 10000 seeds per 200gm packet.
",,42,
6,Simran F1 Hybrid Binjal Seeds,"Colour: Light Purple Gr
een Variegated.
Profuse bearing in clusters.
High yield potential.
Suitable for distant transportation.",product_and_category_images\Simran F1 Hybrid Binjal Seeds-1.png,product_and_category_images\Simran F1 Hybrid Binjal Seeds-2 (2).png,,10,gm,3,4,TRUE,TRUE,0,15,310,,"Shape: Oval..
Size: Length is 7-8 cm & Width is 4-4.5 cm.
Weight: Average fruit weight is 80-100 gms..
First Harvest: 50-55 Days.",,25,
7,Aarti F1 Hybrid Ridge Gourd Seeds,"VNR Aarti Ridge Gourd produces tender and attractive green fruits.
It is an extended harvest variety and
Aarti Ridge Gourd Seeds has high yield potential with uniform & quality fruits.
",product_and_category_images\Aarti F1 Hybrid Ridge Gourd Seeds-1.png,product_and_category_images\Aarti F1 Hybrid Ridge Gourd Seeds-2.png,product_and_category_images\Aarti F1 Hybrid Ridge Gourd Seeds-3.png,50,gm,3,4,TRUE,FALSE,0,16,929,,"Fruit Colour: Attractive green.
Fruit Length: 25-30 cm.
Fruit Weight: 200-225 gm.
Fruit Width: 2.2 - 2.6 cm.","Seed Rate: 0.8 - 1.5 kg per acre.
Method of Sowing: Dibbling.
Spacing: Row to Ridges is- 5-8 ft and Plant to Plant is- 2-3 ft.
First harvest (DAS): 50 – 55 days.
",22,
8,MALGUDI BEANS,"Attractive, high quality variety for fresh market and processing industry.
It’s outstanding bushy, vigorous, green leaves, thick branching variety.
",product_and_category_images\MALGUDI BEANS-1.png,product_and_category_images\MALGUDI BEANS-2.png,,1,KG,3,5,TRUE,FALSE,0,17,1000,,"Pods are dark green, lustrous straight pods with 11 - 12cms long thick flesh and good storage ability (aroma).

Pods are Av. weight 7 - 8 gms, stringless, round shape.
First Picking start from 40 - 45 days after sowing.
High yielding, white seeded.
Resistant to Bean Common Mosaic Virus, Halo Blight.",,47,
9,POLE BEANS NZ,"Pole type (climbing) high yielding, white seeded.
It’s outstanding, small leaf variety, adapted to lowland & high land conditions.
",product_and_category_images\POLE BEANS NZ-1.png,product_and_category_images\POLE BEANS NZ-2.png,,1,kg,3,5,TRUE,TRUE,0,18,600,,"Height of the plant 6 - 7 feet.
Pods are slender semi round, stringless, light green in colour & length of fruit 16 - 18cms.
First picking start from 45 - 50 days after sowing.

Tolerance to fusarium wilt, Bean Common Mosaic virus.",,51,
10,POLE BELLI BEANS,"Outstanding Pole Beans variety.
Pods are lustrous, Green round & String less.",product_and_category_images\POLE BELLI BEANS-1.png,product_and_category_images\POLE BELLI BEANS-2.png,,1,kg,3,5,TRUE,TRUE,0,19,3600,,"Average fruit length 12-12 cm.
Maturity 45-50 days after sowing.
High Yielding, Good adaptability to high temperature and disease tolerance.
",,59,
11,SUPER KURODA (OP) CARROT,"An early vigorous, high yielder with uniform long cylindrical roots. Roots are smooth, deep orange with a very small self Colored core. Flesh is very sweet, crisp and endowed with good storage and transport qualities.
",product_and_category_images\SUPER KURODA (OP) CARROT-1.png,product_and_category_images\SUPER KURODA (OP) CARROT-2.png,,300,gm,3,2,TRUE,FALSE,0,20,1100,,"
Top vigour:Excellent.Root shape:Cylindrical.
Root length (cm):15-20.
Root weight (g):150-175.
Root colour / skin:Orange.
Core:Small.
Disease tolerance:High.
Remarks:Excellent colour and shape.",,42,
12,"NEW KURODA GOSUN CARROT SEEDS
","Product Description: Long root, deep orange colour fruit and harvest starts from 70 days.
Soil Requirements: Well drained red loamy soil.
Height after growth: 1-1.5 feet.
Best time to plant : Year round except January to May.
Sunlight Requirement: Natural sunlight.
",product_and_category_images\NEW KURODA GOSUN CARROT SEEDS-1.png,product_and_category_images\NEW KURODA GOSUN CARROT SEEDs-2.png,,300,gm,3,6,TRUE,FALSE,0,21,1440,,,,34,
13,MAIZE 509 HYBRID - CP SEEDS,"Tolerance to fall army worm and excellent yiled potentiols, The ideal soil for growing corn is well-drained, preferably a sandy loam. Organic matter such as compost, leaves and grass clippings can be added to soil to improve its overall quality and improve drainage, particularly for heavy clay soil. Like most vegetables, corn grows best in soil with a pH between 5.8 and 6.8.
",product_and_category_images\MAIZE 509 HYBRID - CP SEEDS-1.jpeg,product_and_category_images\MAIZE 509 HYBRID - CP SEEDS-2.jpeg,product_and_category_images\MAIZE 509 HYBRID - CP SEEDS-3.png,3.5,KG,4,7,TRUE,TRUE,0,22,2300,,"Plant Height : 90- 100 cm SFT/MP.

Shape/size : Horse-tooth shape, truncated triangular pyramid shape, ellipsoid cone shape, spheroid shape.
Seed Colour : Green in color in early stage.
Weight (resulting fruit/nut/veg/flower…etc) : 3.5 kg.
Maturity (How many days?) : 35-145 days.
Germination : 80- 90 %.",,24,
14,RCH 779 Cotton Hybrid,"Suitable for Closer Spacing Plantation.
Maturity Suitable for Second crop sowing.
Long Sympodia with Chain Bearing.
Good Sucking Pest Tolerance.
",product_and_category_images\RCH 779 Cotton Hybrid-1.png,,,450,gm,4,8,TRUE,TRUE,0,23,600,,,,20,
15,RCH 846 BGII Cotton Hybrid,"Early maturing Hybrid.

Better Pest & Disease Tolerance.
Big bolls with Easy Picking.",product_and_category_images\RCH 846 BGII Cotton Hybrid-1.png,,,450,gm,4,8,TRUE,FALSE,0,24,600,,,,20,
16,RCH 386 Cotton Hybrid,"Big bolls and good boll bursting.
Easy picking.
Good boll retention.
Better tolerance to Jassids.",product_and_category_images\RCH 386 Cotton Hybrid-1.png,,,450,gm,4,8,TRUE,FALSE,0,25,600,,,,20,
17,Improved Paddy – Laxmi,"Duration – 120-125 days.
Medium Slender grain.
Non-shattering grains.",product_and_category_images\Improved Paddy – Laxmi-1.png,,,50,kg,4,8,TRUE,TRUE,0,26,2500,,,,33,
18,Hybrid Maize – 4595,"Early maturity (95-100 days).

Big & uniform cobs with good tip filling.
Bold grains and high-test weight.
Attractive orange colour of grains.",product_and_category_images\Hybrid Maize – 4595-1.png,,,3.5,kG,4,8,TRUE,TRUE,0,27,2500,,,,20,
19,Hybrid Bajra – 1836,"Early Maturity:75-80days of Maturity.
More number of tillers per plant.
Stay Green till Harvest.",product_and_category_images\Hybrid Bajra – 1836-1.png,,,1,KG`,4,8,TRUE,FALSE,0,28,1500,,,,10,
20,HYJET GUN WITH OPERATING LEVER SPGT (80 CM),"The HYJET Gun with Operating Lever SPGT (80 cm) is a durable and versatile agricultural tool designed for efficient spraying applications. Its robust build and ergonomic design make it ideal for use in farming, gardening, and other industrial spraying needs.
",product_and_category_images\HYJET GUN WITH OPERATING LEVER SPGT (80 CM)-1.png,,,8,l,12,9,TRUE,FALSE,0,29,120,,"Enhances spraying efficiency while reducing operator fatigue.
Provides excellent control for targeted spraying.
Ideal for professional and personal agricultural practices.
","Suitable for use in agricultural fields, greenhouses, orchards, and gardens.
Perfect for spraying pesticides, herbicides, fertilizers, and water.
",5,
21,ASPEE TURRBO TEKK 100 MTR 10 MM YELLOW HOSE,"The ASPEE TURRBO TEKK 100 MTR 10 MM Yellow Hose is a high-performance and durable hose designed to meet the demanding needs of agricultural and industrial spraying tasks. Its superior build and flexibility make it an ideal solution for professional-grade applications.
",product_and_category_images\ASPEE TURRBO TEKK 100 MTR 10 MM YELLOW HOSE-1.png,,,100,ml,12,9,TRUE,TRUE,0,30,300,,"Ensures long-lasting performance for heavy-duty use.
Offers ease of handling and operation, reducing user effort.
Compatible with a wide range of sprayers and pumps.
Ideal for both professional agricultural use and industrial spraying applications.
","Perfect for spraying pesticides, fertilizers, and herbicides in agricultural fields.
Suitable for water distribution, irrigation, and industrial spraying tasks.
",10,
22,APPLE MASTER GUN CODE : SPGA (32 CM),"The APPLE Master Gun SPGA (32 CM) is a compact and efficient spraying tool designed for precision and ease of use. Built with durable materials and engineered for optimal performance, it is an ideal choice for both professional and personal agricultural spraying needs.
",product_and_category_images\APPLE MASTER GUN CODE  SPGA (32 CM)-1.png,,,32,ml,12,9,TRUE,TRUE,0,31,300,,"Delivers accurate and uniform spraying for effective results.
Easy to handle and operate, even in tight spaces.
Reliable performance for everyday spraying tasks.
","Ideal for applying pesticides, herbicides, and fertilizers in small gardens, orchards, and agricultural fields.
Suitable for indoor and outdoor spraying needs.
",5,
