id,name,description,image,image1,imge2,weight,unit_of_messure,category,brand,is_show,is_trend,view_count,stock_qty,mrp_price,demo_url,recommandation,benifits_and_features,discount_percentage
1,SAAHO TOMATO SEEDS [TO-3251],"Saaho Tomato Seeds is a high-yielding determinate tomato hybrid developed by Syngenta.
It is known for its excellent fruit quality and high fruit firmness.
The plant has good stay greenness and dark green foliage.
Saaho Tomato Seeds is having good heat set.
",product_and_category_images\SAAHO TOMATO SEEDS [TO-3251]-1.webp,,,10,gm,3,1,TRUE,TRUE,0,10,1450,,,,20
2,SAAHO TOMATO SEEDS [TO-3252],"Surabhi Coriander is a very vigorous variety having excellent yield potential.
Suitable for multiple cuts with very attractive, large, shiny leaves having a good aroma.
It is a late-bolting variety and can be grown round the year.
It is a dark shiny green foliage color.
",product_and_category_images\SAAHO TOMATO SEEDS [TO-3251]-2.png,,,500,gm,3,2,TRUE,TRUE,0,11,250,,,,42
3,Surabhi Coriander Seeds,"Surabhi Coriander is a very vigorous variety having excellent yield potential.
Suitable for multiple cuts with very attractive, large, shiny leaves having a good aroma.
It is a late-bolting variety and can be grown round the year.
It is a dark shiny green foliage color.

",product_and_category_images\Surabhi_Coriander_Seeds-1.png,,,1,KG,3,2,TRUE,FALSE,0,12,500,,,,42
4,RAADHIKA BHINDI,"It is a hybrid variety of okra.
Suitable for round the year.
shelf life of fruit is long.
",product_and_category_images\RAADHIKA BHINDI-1.jpg,,,250,gm,3,3,TRUE,FALSE,0,13,2700,,,,38
5,Madhur Beetroot Seeds,"Madhur seeds has excellent field holding capacity and wide adaptability.
The root shape is maintained even under close spacing.
Foliage is medium dull green with maroon tinge
Plant Vigour : Good
",product_and_category_images\Madhur Beetroot Seeds-1.png,,,400,gm,3,2,TRUE,TRUE,0,14,1280,,,,42
6,Simran F1 Hybrid Binjal Seeds,"Colour: Light Purple Gr
een Variegated.
Profuse bearing in clusters.
High yield potential.
Suitable for distant transportation.",product_and_category_images\Simran F1 Hybrid Binjal Seeds-1.png,,,10,gm,3,4,TRUE,TRUE,0,15,310,,,,25
7,Aarti F1 Hybrid Ridge Gourd Seeds,"VNR Aarti Ridge Gourd produces tender and attractive green fruits.
It is an extended harvest variety and
Aarti Ridge Gourd Seeds has high yield potential with uniform & quality fruits.
",product_and_category_images\Aarti F1 Hybrid Ridge Gourd Seeds-1.png,,,50,gm,3,4,TRUE,FALSE,0,16,929,,,,22
8,MALGUDI BEANS,"Attractive, high quality variety for fresh market and processing industry.
It?s outstanding bushy, vigorous, green leaves, thick branching variety.
",product_and_category_images\MALGUDI BEANS-1.png,,,1,KG,3,5,TRUE,FALSE,0,17,1000,,,,47
9,POLE BEANS NZ,"Pole type (climbing) high yielding, white seeded.
It?s outstanding, small leaf variety, adapted to lowland & high land conditions.
",product_and_category_images\POLE BEANS NZ-1.png,,,1,kg,3,5,TRUE,TRUE,0,18,600,,,,51
10,POLE BELLI BEANS,"Outstanding Pole Beans variety.
Pods are lustrous, Green round & String less.",product_and_category_images\POLE BELLI BEANS-1.png,,,1,kg,3,5,TRUE,TRUE,0,19,3600,,,,59
